ID,Client_Income,Child_Count,Credit_Amount,Loan_Annuity,Age_Days,Employed_Days,Default
12142509,6750.0,0.0,61190.55,3416.85,13957.0,1062.0,0
12181264,18000.0,1.0,59527.35,2788.2,16790.0,5102.0,0
12133385,33750.0,2.0,133988.4,3547.35,11366.0,2977.0,0
12191614,11250.0,1.0,13752.0,653.85,13881.0,1184.0,0
12100935,27000.0,1.0,67500.0,3375.0,14816.0,2263.0,0
12191210,15750.0,1.0,149963.85,4397.85,11318.0,369.0,0
12196064,22500.0,0.0,100424.7,4666.5,21160.0,373.0,0
12105180,45000.0,1.0,105493.5,4482.45,15568.0,3062.0,0
12114826,13500.0,1.0,18000.0,900.0,12625.0,125.0,0
12141963,27000.0,0.0,38053.35,3064.05,17639.0,4624.0,0
12193649,15750.0,0.0,49121.1,4785.3,18208.0,1644.0,0
12190554,19350.0,0.0,111384.0,4732.2,22727.0,6145.0,0
12105063,22500.0,0.0,89660.25,4745.25,11614.0,616.0,0
12217297,21600.0,0.0,125956.35,5336.55,20318.0,4839.0,0
12190755,27000.0,1.0,38152.8,1868.4,11386.0,1053.0,0
12162956,20250.0,0.0,157500.0,8001.0,20434.0,3323.0,0
12108653,22500.0,0.0,43787.7,2248.65,20353.0,6904.0,0
12199634,11250.0,1.0,18000.0,900.0,16900.0,2283.0,1
12190165,15750.0,0.0,20250.0,1306.8,10213.0,352.0,0
12184202,18000.0,0.0,67500.0,2615.4,13147.0,5341.0,0
12117444,13950.0,0.0,80865.0,2621.7,21244.0,8303.0,0
12130231,22500.0,2.0,125640.0,4464.45,15008.0,2977.0,0
12136962,24750.0,1.0,77702.4,4152.6,13352.0,4132.0,0
12217931,18000.0,0.0,107820.0,3165.3,17507.0,2664.0,0
12102829,6750.0,1.0,40500.0,1539.9,9640.0,215.0,0
12114200,54000.0,3.0,24750.0,1237.5,16654.0,6936.0,0
12172556,11250.0,1.0,64008.0,3113.1,13690.0,3548.0,0
12183154,14400.0,0.0,21564.0,1681.65,14966.0,1469.0,0
12121159,9000.0,0.0,90000.0,2631.6,19885.0,674.0,0
12113801,21600.0,2.0,112500.0,4779.45,14310.0,1877.0,0
12162884,13500.0,0.0,22500.0,2225.25,17562.0,531.0,0
12172063,13950.0,0.0,30600.0,1360.8,16852.0,3483.0,0
12147722,24750.0,0.0,103500.0,3039.3,17965.0,643.0,0
12215412,11250.0,0.0,36000.0,2066.4,12969.0,5840.0,0
12121092,20250.0,0.0,123681.6,3616.2,18741.0,1449.0,0
12111542,18000.0,2.0,221522.4,6361.65,14758.0,576.0,0
12125863,6525.0,2.0,28440.0,1864.35,13006.0,808.0,0
12106543,11250.0,0.0,97038.0,3130.2,10442.0,2369.0,0
12139322,18000.0,2.0,36000.0,1800.0,16804.0,2262.0,0
12219323,13500.0,0.0,45000.0,2110.95,16589.0,392.0,0
12205360,15750.0,0.0,15750.0,1158.75,14888.0,1286.0,1
12141227,15750.0,0.0,125640.0,3686.4,8764.0,499.0,0
12181435,13500.0,0.0,31410.0,1644.3,12013.0,3973.0,0
12118447,8100.0,1.0,54000.0,2770.2,16242.0,8579.0,0
12203037,18000.0,0.0,45000.0,2250.0,13131.0,3139.0,0
